Country,2020
World,47513.15
China,12295.62
United States,5289.13
India,3166.95
Russia,1799.98
Indonesia,1475.83
Brazil,1469.64
Japan,1062.78
Iran,844.71
Canada,731.54
Saudi Arabia,712.59
Democratic Republic of the Congo,688.06
Germany,681.18
South Korea,613.54
Mexico,609.07
Australia,585.42
South Africa,508.38
Turkey,476.34
Vietnam,458.14
Thailand,451.42
Pakistan,443.6
United Kingdom,411.12
Argentina,394.76
Nigeria,369.38
Malaysia,367.76
Italy,339.21
Poland,320.92
France,314.57
Egypt,299.96
Kazakhstan,291.82
Colombia,270.31
Algeria,267.01
Iraq,261.79
Spain,256.41
United Arab Emirates,249.93
Myanmar,246.64
Venezuela,237.63
Philippines,227.52
Ukraine,224.44
Bangladesh,224.35
Ethiopia,199.27
Turkmenistan,194.09
Uzbekistan,184.15
Peru,179.78
Netherlands,162.55
Tanzania,158.82
Kuwait,135.89
Bolivia,131.43
Cameroon,128.4
Sudan,128.14
Qatar,119.61
Angola,119.41
Chad,114.0
Zimbabwe,113.2
Mozambique,103.81
Czech Republic,102.64
Belgium,100.27
Paraguay,97.29
Oman,95.1
Ecuador,94.19
Zambia,91.19
Belarus,86.3
Morocco,86.1
Israel,83.75
North Korea,79.44
Mongolia,76.38
Libya,75.37
Cambodia,74.85
Romania,72.84
Kenya,72.62
New Zealand,70.86
South Sudan,70.61
Greece,70.56
Ireland,66.46
Singapore,64.3
Austria,64.09
Serbia,62.81
Finland,61.7
Hungary,61.39
Burkina Faso,56.36
Portugal,56.01
Central African Republic,55.52
Bahrain,54.15
Uganda,53.61
Botswana,53.52
Azerbaijan,53.45
C̫te d'Ivoire,52.47
Papua New Guinea,51.65
Chile,49.69
Nepal,48.48
Syria,47.12
Solomon Islands,46.25
Niger,46.04
Somalia,43.62
Mali,43.49
Laos,43.36
Denmark,43.19
Switzerland,42.25
Guinea,41.79
Madagascar,40.21
Nicaragua,38.15
Tunisia,37.1
Sri Lanka,36.9
Guatemala,36.78
Cuba,35.62
Dominican Republic,35.5
Slovakia,34.95
Senegal,34.71
Uruguay,34.28
Sweden,34.14
Jordan,33.15
Norway,31.33
Afghanistan,31.27
Republic of Congo,29.63
Lebanon,28.87
Honduras,27.67
Benin,26.96
Trinidad and Tobago,26.61
Bosnia and Herzegovina,24.39
Yemen,24.39
Lithuania,24.13
Namibia,24.12
Panama,21.46
Gabon,21.16
Malawi,20.31
Guyana,18.17
Georgia,17.69
Tajikistan,17.56
Croatia,17.05
Slovenia,15.65
Liberia,15.62
Estonia,14.83
Ghana,14.41
Suriname,13.54
Equatorial Guinea,13.38
Moldova,13.17
Mauritania,12.97
Kyrgyzstan,12.83
Bulgaria,12.61
Brunei,12.23
El Salvador,12.15
Latvia,11.53
Haiti,10.9
Armenia,10.46
Macedonia,9.77
Sierra Leone,9.31
Togo,9.24
Luxembourg,8.54
Albania,8.06
Cyprus,7.86
Rwanda,7.59
Jamaica,7.58
Burundi,7.14
Costa Rica,7.08
Belize,6.96
Eritrea,6.69
Mauritius,6.41
Timor-Leste,6.01
Guinea-Bissau,4.26
Lesotho,4.01
Montenegro,3.79
Barbados,3.65
Iceland,3.27
Gambia,2.98
Eswatini,2.88
Bahamas,2.83
Grenada,2.4
Malta,2.08
Maldives,1.99
Djibouti,1.39
Antigua and Barbuda,1.2
Seychelles,0.77
Cape Verde,0.73
Saint Lucia,0.7
Comoros,0.68
Samoa,0.65
Vanuatu,0.59
Andorra,0.58
Sao Tome and Principe,0.4
Saint Kitts and Nevis,0.33
Bhutan,0.32
Saint Vincent and the Grenadines,0.3
Tonga,0.27
Dominica,0.22
Palau,0.2
Micronesia,0.16
Liechtenstein,0.16
Marshall Islands,0.16
Kiribati,0.09
Cook Islands,0.07
Nauru,0.05
Tuvalu,0.02
Niue,0.0
Fiji,-0.81
