superregion2,iso3,age,female,urban,edu,year,varnum,v01_type,v01_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95
SAARC,AFG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,65.697036145116,85.8848255564909,51.1431781223965,0.68512917,0.53335255,0.89565986
SSA,AGO,999.0,999,999,999,2018,1,1,1: Foods & Beverages,119.746980178364,137.873253623367,103.335038230793,1.2593015,1.0867078,1.4499239
FSU,ALB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,138.874360391486,164.34651918003,117.845783614973,1.4118987,1.1981068,1.6708674
MENA,ARE,999.0,999,999,999,2018,1,1,1: Foods & Beverages,107.577819790244,125.948181305625,91.1495602774388,1.0912743,0.92462528,1.277624
LAC,ARG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,93.9957873084252,106.872729718193,82.9969735911248,0.9620859,0.84950846,1.0938867
FSU,ARM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,91.2343636248976,111.774127859746,74.4188833868422,0.93048811,0.7589891,1.1399707
LAC,ATG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,95.4918802292613,138.192485151227,65.3606055982819,0.97540224,0.6676262,1.4115678
HIC,AUS,999.0,999,999,999,2018,1,1,1: Foods & Beverages,131.918999095163,157.750069738487,108.971208041698,1.3430971,1.1094605,1.6060891
HIC,AUT,999.0,999,999,999,2018,1,1,1: Foods & Beverages,105.732200560184,119.896436975043,93.11547947752328,1.071574,0.9437061,1.2151256
FSU,AZE,999.0,999,999,999,2018,1,1,1: Foods & Beverages,104.818388315147,124.217414503474,88.4349691075858,1.0738488,0.90600318,1.272589
SSA,BDI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,73.8386441780645,91.46726318904652,59.9348064384843,0.77594203,0.62983191,0.9611944
HIC,BEL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,103.927446406301,115.883305767732,92.9403600887205,1.0552081,0.94365275,1.1765997
SSA,BEN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,74.7789709787026,84.1840778601592,66.8255857275888,0.78196144,0.69879311,0.88031036
SSA,BFA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,34.7742152343537,39.9105460754588,30.3292872469201,0.36458603,0.31798372,0.41843727
SAARC,BGD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,54.7477881093362,59.2298242025518,50.5768453169707,0.56122798,0.518471,0.60717398
FSU,BGR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,95.8909898235129,114.70827641489,80.1722794218423,0.97065479,0.81154245,1.1611325
MENA,BHR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,119.813558873784,144.063168377146,98.5689778459674,1.2210921,1.0045757,1.4682344
LAC,BHS,999.0,999,999,999,2018,1,1,1: Foods & Beverages,83.6849671448583,123.566959549669,56.6471184075349,0.85253632,0.57708961,1.2588321
FSU,BIH,999.0,999,999,999,2018,1,1,1: Foods & Beverages,499.894640302122,508.707530909323,475.323174139805,5.0576148,4.8090167,5.1467781
FSU,BLR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,246.338711413943,429.533016491168,134.705179853201,2.5042057,1.3693725,4.3665042
LAC,BLZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,85.6141387187004,123.110173641604,58.3820307641631,0.88080394,0.60063821,1.2665656
LAC,BOL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,86.590890046217,96.490836729462,77.6353599701057,0.89140302,0.79921103,0.99331725
LAC,BRA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,85.0199978632174,94.04131869695972,77.009932964836,0.86675501,0.78509468,0.95872486
LAC,BRB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,129.491645466384,155.863523890408,107.796306587331,1.3138357,1.0937126,1.5814075
Asia,BRN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,82.87319255645,116.069296259071,59.528181366804,0.84702778,0.60842377,1.1863174
SAARC,BTN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,97.8454068725347,130.141509427228,73.7751800614532,1.0011809,0.7548877,1.3316433
SSA,BWA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,50.9212598654538,66.1740978849279,39.0431841245154,0.52653563,0.40371403,0.68425292
SSA,CAF,999.0,999,999,999,2018,1,1,1: Foods & Beverages,99.0496401068889,114.262237585014,85.9994097375614,1.034461,0.89816618,1.1933393
HIC,CAN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,136.057729119814,148.448011903707,124.114294949531,1.3804559,1.2592765,1.506169
HIC,CHE,999.0,999,999,999,2018,1,1,1: Foods & Beverages,137.964303497016,159.969313809354,119.051282879149,1.3995161,1.2076616,1.622736
LAC,CHL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,108.529407776906,132.253129401457,88.6423422473672,1.104625,0.90221214,1.3460878
Asia,CHN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,89.4122008060292,97.5675474737883,81.8482438781786,0.90903008,0.83212936,0.99194336
SSA,CIV,999.0,999,999,999,2018,1,1,1: Foods & Beverages,60.6914363712856,70.6637330524467,51.988272157774,0.63431686,0.5433557,0.73854238
SSA,CMR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,83.2733735309439,93.9732127657128,73.6071679516597,0.87042308,0.76938611,0.98226416
SSA,COD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,94.4749342424516,106.876340944557,83.6492202910115,0.99363625,0.87977725,1.1240675
SSA,COG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,89.746269385447,100.689268883255,79.9987968049268,0.93661314,0.83488619,1.0508169
LAC,COL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,100.546668601159,109.570652858453,92.2188810907466,1.0265101,0.9414894,1.1186386
SSA,COM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,85.338127129812,98.7373338823172,73.6716234026474,0.88875371,0.76725292,1.0282997
SSA,CPV,999.0,999,999,999,2018,1,1,1: Foods & Beverages,237.215166328854,321.598754634218,171.161458100222,2.4374759,1.758749,3.3045495
LAC,CRI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,130.842771556661,190.206289437557,91.7236548403772,1.3341774,0.93528759,1.9394952
LAC,CUB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,130.49691305876,153.411072822296,111.33123162234,1.324304,1.1298075,1.5568405
HIC,CYP,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.3767124044367,96.6694499873358,36.6235851628882,0.60280925,0.37181306,0.98141575
FSU,CZE,999.0,999,999,999,2018,1,1,1: Foods & Beverages,74.1121146548495,84.4717084601319,65.6083771935005,0.75156796,0.6653319,0.85662413
HIC,DEU,999.0,999,999,999,2018,1,1,1: Foods & Beverages,140.812759477238,153.461234554541,128.829403149125,1.4262408,1.3048658,1.5543525
SSA,DJI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,146.190041404071,169.346210682111,125.918396217323,1.5052516,1.2965238,1.74368
LAC,DMA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,106.237945864258,133.355525128268,84.2768659591042,1.0862775,0.86172664,1.3635534
HIC,DNK,999.0,999,999,999,2018,1,1,1: Foods & Beverages,90.1526175014409,106.16546565832,76.0357558744175,0.91423404,0.77107549,1.0766196
LAC,DOM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,142.833554989226,157.104629131628,130.210457249622,1.466313,1.3367257,1.6128182
MENA,DZA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,79.5296284810312,99.9550271476557,63.9208211229589,0.82158703,0.66033906,1.0325933
LAC,ECU,999.0,999,999,999,2018,1,1,1: Foods & Beverages,25.9944971456071,29.9307242630463,22.5852621335584,0.26699361,0.23197681,0.3074232
MENA,EGY,999.0,999,999,999,2018,1,1,1: Foods & Beverages,88.4214457482227,97.4017827123866,80.2290611559547,0.91713977,0.8321653,1.010287
SSA,ERI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,57.3423997804261,78.833354528797,41.8477842369097,0.5961988,0.43509862,0.81964391
HIC,ESP,999.0,999,999,999,2018,1,1,1: Foods & Beverages,64.3295236764438,72.3358959485081,57.3982027429494,0.65097678,0.58083588,0.73199654
FSU,EST,999.0,999,999,999,2018,1,1,1: Foods & Beverages,105.205869681218,116.794114767388,95.150508069609,1.0669967,0.96501529,1.1845245
SSA,ETH,999.0,999,999,999,2018,1,1,1: Foods & Beverages,38.6011194034544,43.1366312873296,34.6309652772407,0.40243036,0.36104009,0.44971469
HIC,FIN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,150.240292569115,167.749323190682,133.514111163558,1.5234262,1.3538239,1.7009665
Asia,FJI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,109.344716533776,159.831136880714,74.3602644248735,1.1249456,0.76502329,1.6443533
HIC,FRA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,150.850440324744,165.315409876356,137.03327553117,1.5325657,1.3921901,1.6795226
Asia,FSM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,145.375375314988,201.470696606652,105.479354354757,1.4974802,1.08652,2.0753059
SSA,GAB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,69.854514090441,80.4948679465765,60.3818132627206,0.72757536,0.62891167,0.83840084
HIC,GBR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,91.3069328089508,100.431214192975,82.7719344627765,0.92801028,0.84126371,1.0207461
FSU,GEO,999.0,999,999,999,2018,1,1,1: Foods & Beverages,71.8341812687634,83.6349012930986,61.8042619302612,0.73225468,0.63001287,0.85254741
SSA,GHA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,87.942454399952,95.0896123123831,81.2240634434678,0.91378278,0.84397405,0.98804671
SSA,GIN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,22.0132637346535,26.5879101446719,18.1100594105022,0.23036066,0.18951507,0.27823263
SSA,GMB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,30.7245107906109,39.2722988336685,24.0356994121306,0.3223978,0.25221089,0.41209126
SSA,GNB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,67.6474543330355,78.2404553413931,58.6414152406549,0.70716548,0.61301917,0.81790143
SSA,GNQ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,91.0326262252991,105.12207679468,78.7796382959644,0.94796032,0.82036489,1.0946796
HIC,GRC,999.0,999,999,999,2018,1,1,1: Foods & Beverages,77.0448112472848,88.5662261391273,66.9879896133645,0.77909607,0.67739904,0.89560348
LAC,GRD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,121.463786793676,175.733568483431,84.3704057965905,1.242088,0.86277127,1.7970505
LAC,GTM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,75.6263281327174,83.3463663410424,68.527398423411,0.78158665,0.7082203,0.86137211
LAC,GUY,999.0,999,999,999,2018,1,1,1: Foods & Beverages,202.809923301109,237.103415604905,173.782349410223,2.0833068,1.7851294,2.4355769
LAC,HND,999.0,999,999,999,2018,1,1,1: Foods & Beverages,88.8317808724018,100.624339683429,78.9260614583824,0.91437757,0.81241441,1.0357627
FSU,HRV,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.5489670738657,68.9037719356205,51.4476078677174,0.60296643,0.52093565,0.69768906
LAC,HTI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,69.9661382372416,78.9144401277695,61.9727868652115,0.72211927,0.63962007,0.81447458
FSU,HUN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.9620799813876,67.7556055511531,52.9831507078168,0.60727245,0.5365926,0.68620223
Asia,IDN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,67.0369763617495,72.5091780211128,61.9519097741023,0.68741775,0.63527393,0.74353141
SAARC,IND,999.0,999,999,999,2018,1,1,1: Foods & Beverages,35.7867372999914,38.3184509525432,33.3348788774056,0.36647964,0.341371,0.39240605
HIC,IRL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,78.4156773523174,94.5259068919474,64.7183164322817,0.7990185,0.65944892,0.9631741
MENA,IRN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,168.590467619044,179.690898693247,158.196520772997,1.7287785,1.6221957,1.8426057
MENA,IRQ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,102.931618452849,148.242722053765,71.082844311643,1.070309,0.73913741,1.5414654
HIC,ISL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,76.0812955646829,87.3241165528863,66.3537572776168,0.77397043,0.67501277,0.88834298
MENA,ISR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,133.917249157938,149.35184906604,120.409808134337,1.3770411,1.2381471,1.5357517
HIC,ITA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,199.418173410848,217.525310718972,183.009231471294,2.0163617,1.8504472,2.1994469
LAC,JAM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,176.66755802495,225.932265646504,137.796832144416,1.8062321,1.4088216,2.3099098
MENA,JOR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,171.14689279419,189.655286337282,154.023847954834,1.765311,1.5886937,1.9562175
Asia,JPN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,108.928436343983,112.526538464072,105.558469389044,1.1011771,1.0671095,1.137551
FSU,KAZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.1080662269848,68.7767583125313,50.5873452233619,0.60885936,0.52108926,0.70845443
SSA,KEN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,104.995432349102,114.992532281748,95.4309839244977,1.0904084,0.99107885,1.1942313
FSU,KGZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,74.8592462210999,89.9453683541905,62.2701273715252,0.77502072,0.64468503,0.9312079
Asia,KHM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,48.9507686778056,54.6452473464972,43.8080970721485,0.50454307,0.45153677,0.56323695
Asia,KIR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,97.9704536261619,145.276014942651,66.0621939449163,1.0146071,0.68415695,1.5045155
Asia,KOR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,96.41854400144672,101.336607201399,91.6353269034115,0.97490942,0.92654526,1.0246371
