Region,iso3,age,female,urban,edu,year,varnum,v06_type,v06_type_desc,Median,serving,country name
SAARC,AFG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,31.2056945432745,1.1105229,Afghanistan
SSA,AGO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.6122457357973,0.41398382,Angola
FSU,ALB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.2727712037474,0.43443438,Albania
MENA,ARE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,31.7293794737335,1.1227664,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.56476860854843,0.055468582,Argentina
FSU,ARM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,18.9043361676814,0.66965413,Armenia
LAC,ATG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.51891631064462,0.089259967,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.38098061333479,0.26136616,Australia
HIC,AUT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.3898140554321,0.1906549,Austria
FSU,AZE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,32.6994683393339,1.1595556,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.51109043892518,0.23212445,Burundi
HIC,BEL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.36292100574815,0.11899932,Belgium
SSA,BEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.9754438772722,0.46208847,Benin
SSA,BFA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.7684164704433,0.77550471,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.665211321808644,0.023589054,Bangladesh
FSU,BGR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.4996041816377,0.40663379,Bulgaria
MENA,BHR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.4619072425758,0.75998259,Bahrain
LAC,BHS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.94456954869087,0.35214481,Bahamas
FSU,BIH,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.76859127875942,0.31006333,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.9145544673898,0.38635591,Belarus
LAC,BLZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.20600134625304,0.07828252,Belize
LAC,BOL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.6447006571747,0.41322571,Bolivia
LAC,BRA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.232899208504795,0.0082500605,Brazil
LAC,BRB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.74931510194536,0.30960068,Barbados
Asia,BRN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.22032077150063,0.14955071,Brunei
SAARC,BTN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.55580685599336,0.23239303,Bhutan
SSA,BWA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,39.7024973806986,1.4103907,Botswana
SSA,CAF,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.87416616922848,0.28031918,Central African Republic
HIC,CAN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,17.3307319764595,0.61326015,Canada
HIC,CHE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.92542421033354,0.24506101,Switzerland
LAC,CHL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,17.8910666152025,0.63353634,Chile
Asia,CHN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.369656239277893,0.33166924,China
SSA,CIV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.57252340299176,0.34078047,C̫te d'Ivoire
SSA,CMR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,14.9427967035482,0.53196144,Cameroon
SSA,COD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.9858711503437,0.92641252,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.86741432016388,0.35127854,Republic of Congo
LAC,COL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,45.1482623481617,1.5993009,Colombia
SSA,COM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.89344854195949,0.28080571,Comoros
SSA,CPV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,15.0110540944604,0.53249568,Cape Verde
LAC,CRI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.58101018744697,0.30396777,Costa Rica
LAC,CUB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.339240534362796,0.012004266,Cuba
HIC,CYP,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.48445402699561,0.15868556,Cyprus
FSU,CZE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.04332296015121,0.10765203,Czech Republic
HIC,DEU,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.16637347938949,0.11200472,Germany
SSA,DJI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.0828652714431737,0.0029416142,Djibouti
LAC,DMA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.44570314349344,0.15753733,Dominica
HIC,DNK,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.19844329842798,0.29000506,Denmark
LAC,DOM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.36375244055038,0.048377171,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.59580613236083,0.19878531,Algeria
LAC,ECU,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.74151593510381,0.097251363,Ecuador
MENA,EGY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.00675785207969,0.071338713,Egypt
SSA,ERI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.0625453710013,0.35784301,Eritrea
HIC,ESP,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.35016767848067,0.29526758,Spain
FSU,EST,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.09568769047333,0.28647161,Estonia
SSA,ETH,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.71149498131556,0.060907293,Ethiopia
HIC,FIN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.99786761491583,0.10604413,Finland
Asia,FJI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.40113643947289,0.15617943,Fiji
HIC,FRA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.44679864868214,0.086612344,France
Asia,FSM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.89662565978589,0.10282661,Micronesia
SSA,GAB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,20.2097080738419,0.71895081,Gabon
HIC,GBR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.39614756503847,0.19101407,United Kingdom
FSU,GEO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.26997392501382,0.22210322,Georgia
SSA,GHA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,29.2569521044435,1.0404321,Ghana
SSA,GIN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.6373033391234,0.37882134,Guinea
SSA,GMB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.9561755499707,0.42609322,Gambia
SSA,GNB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.6300619238684,0.44962841,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.3565922736603,0.40400541,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.38664749846837,0.26119685,Greece
LAC,GRD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.0319607672110603,0.0011329588,Grenada
LAC,GTM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.59157300932589,0.092062987,Guatemala
LAC,GUY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.29397456495665,0.2942169,Guyana
LAC,HND,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.59535512881074,0.16307151,Honduras
FSU,HRV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.86476031061351,0.31357482,Croatia
LAC,HTI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.17560344939353,0.18379274,Haiti
FSU,HUN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.63651097601284,0.057888608,Hungary
Asia,IDN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.1308868218766,0.18194634,Indonesia
SAARC,IND,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.24981982792439,0.11520099,India
HIC,IRL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.8969460197365,0.45669073,Ireland
MENA,IRN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.00500769589539,0.24840452,Iran
MENA,IRQ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.6502461342114,0.4498665,Iraq
HIC,ISL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.36910705097475,0.048463967,Iceland
MENA,ISR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,27.8435509152413,0.98806071,Israel
HIC,ITA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.33218300795328,0.11782825,Italy
LAC,JAM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.09162958745702,0.10955456,Jamaica
MENA,JOR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.5063712530346,0.37309557,Jordan
Asia,JPN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.41200219743347,0.08529003,Japan
FSU,KAZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,74.9757270070086,2.661545,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.581968772267473,0.020695902,Kenya
FSU,KGZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,37.4940204649926,1.3324101,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.5180107045409,0.053887494,Cambodia
Asia,KIR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.15928857956206,0.11227039,Kiribati
Asia,KOR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.54380999788575,0.054590169,South Korea
MENA,KWT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.1089896156061,0.88944352,Kuwait
Asia,LAO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.685878399978509,0.024356477,Laos
MENA,LBN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,43.1589887361889,1.5304606,Lebanon
SSA,LBR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.46638328080077,0.087771647,Liberia
MENA,LBY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,19.1231023311841,0.67836475,Libya
LAC,LCA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.508200912904131,0.017989412,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.78965965621538,0.34690502,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.73654158739311,0.061688866,Lesotho
FSU,LTU,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.375177046380912,0.33174723,Lithuania
HIC,LUX,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.109182981840978,0.0038635167,Luxembourg
FSU,LVA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.76721085527077,0.23946252,Latvia
MENA,MAR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,15.2468445951436,0.54086006,Morocco
FSU,MDA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,16.5268940710993,0.5848158,Moldova
SSA,MDG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.848181998030832,0.030184412,Madagascar
SAARC,MDV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,14.9459595935945,0.52943534,Maldives
LAC,MEX,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.87377048813565,0.06644576,Mexico
Asia,MHL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.44713087363573,0.12228204,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.0409423578508,0.42607722,Macedonia
SSA,MLI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.9124791676716,0.46033794,Mali
HIC,MLT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.57676619934639,0.23264118,Malta
Asia,MMR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.65975312243495,0.16518091,Myanmar
FSU,MNE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.2967866912866,0.39988625,Montenegro
FSU,MNG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.16119769513229,0.076774344,Mongolia
SSA,MOZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.5527635049428,0.37594455,Mozambique
SSA,MRT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.81833748590554,0.064709522,Mauritania
SSA,MUS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.97243387538214,0.31749588,Mauritius
SSA,MWI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.85257064391255,0.2795504,Malawi
Asia,MYS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,57.9516087399194,2.0542932,Malaysia
SSA,NAM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.2370517878372,0.29292503,Namibia
SSA,NER,999.0,999,999,999,2018,6,1,1: Foods & Beverages,16.3339173165118,0.58293778,Niger
SSA,NGA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.8769846702702,0.38749501,Nigeria
LAC,NIC,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.83454413407805,0.20704557,Nicaragua
HIC,NLD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.35344901458189,0.15404986,Netherlands
HIC,NOR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.49155460827088,0.12355112,Norway
SAARC,NPL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.13184660695844,0.18204492,Nepal
HIC,NZL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.9465382696961,0.068928413,New Zealand
MENA,OMN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,17.394989465187,0.61684358,Oman
SAARC,PAK,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.12533069415528,0.11106364,Pakistan
LAC,PAN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,15.8497928039928,0.56224877,Panama
LAC,PER,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.26647931734686,0.25758523,Peru
Asia,PHL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.40441807401576,0.014351244,Philippines
Asia,PNG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.0845882953997815,0.0030059807,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.64759432520283,0.12902704,Poland
HIC,PRT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.98720757597505,0.10562968,Portugal
LAC,PRY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.05348892684656,0.21481508,Paraguay
MENA,QAT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,20.2525658456641,0.71639776,Qatar
FSU,ROU,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.7969785086444,0.38192353,Romania
FSU,RUS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,16.5820007489997,0.58718133,Russia
SSA,RWA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.03424037572594,0.25023979,Rwanda
MENA,SAU,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.3246860336535,0.89803851,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,14.3270605070976,0.5098598,Sudan
SSA,SEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.48127655907763,0.26642722,Senegal
Asia,SGP,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.59470352089113,0.091750473,Singapore
Asia,SLB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.11679060899378,0.039757587,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.48961756275393,0.08859849,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.1746720343379,0.11257702,El Salvador
FSU,SRB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.96880901090517,0.14038943,Serbia
SSA,SSD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.64645521170678,0.27221271,South Sudan
SSA,STP,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.91367898440909,0.31721276,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,15.3874887650651,0.54565561,Suriname
FSU,SVK,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.38357766516081,0.11973028,Slovakia
FSU,SVN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.00594899021951,0.31856912,Slovenia
HIC,SWE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.10794474701184,0.18081221,Sweden
SSA,SWZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.94773319148793,0.24689884,Eswatini
SSA,SYC,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.426352606998853,0.33414933,Seychelles
MENA,SYR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,19.4717110030241,0.69122154,Syria
SSA,TCD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.24161615637483,0.32946938,Chad
SSA,TGO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.32950157572057,0.33201072,Togo
Asia,THA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.31832523991706,0.046649866,Thailand
FSU,TJK,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.07950038962936,0.18070082,Tajikistan
FSU,TKM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.81000941083081,0.028774757,Turkmenistan
Asia,TLS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.5706289357679,0.055834658,Timor-Leste
Asia,TON,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.28858328434965,0.11682356,Tonga
LAC,TTO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.454368352695568,0.33478642,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.51878262843339,0.2311625,Tunisia
MENA,TUR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.1242179989039,0.39433599,Turkey
SSA,TZA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,16.3941774572634,0.58404624,Tanzania
SSA,UGA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.74696900562855,0.27608585,Uganda
FSU,UKR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.8368877530727,0.45408162,Ukraine
LAC,URY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.5151672185076,0.90383166,Uruguay
HIC,USA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.4542732922291,0.40546101,United States
FSU,UZB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.22584297768618,0.11447278,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.19620070784807,0.21948993,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.807790322366979,0.028645046,Venezuela
Asia,VNM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.1003879021317,0.74797547,Vietnam
Asia,VUT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.91566526721276,0.1392484,Vanuatu
Asia,WSM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,26.0750913895914,0.92760909,Samoa
MENA,YEM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.39289920207832,0.12070078,Yemen
SSA,ZAF,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.226812749768307,0.0080487132,South Africa
SSA,ZMB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,19.6664073491941,0.70062017,Zambia
SSA,ZWE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.12672727664943,0.11127143,Zimbabwe
